系名,組別
中國文學系,文組
人類學系,文組
公共衛生學系,理組
公共衛生學系A組,理組
公共衛生學系B組,理組
動物科學技術學系,理組
化學工程學系,理組
化學系,理組
哲學系,文組
國際企業學系,文組
國際企業學系A組,文組
國際企業學系B組,文組
國際體育運動事務學士學位學程,其他
園藝暨景觀學系,其他
圖書資訊學系,文組
土木工程學系,理組
地理環境資源學系A組,其他
地理環境資源學系B組,其他
地質科學系,理組
外國語文學系,文組
大氣科學系,理組
工商管理學系企業管理組,文組
工商管理學系企業管理組A組,文組
工商管理學系企業管理組B組,文組
工商管理學系企業管理組英文專班,文組
工商管理學系企管組英文專班,文組
工商管理學系科技管理組,文組
工程科學及海洋工程學系,理組
工程科學及海洋工程學系A組(船舶海洋應力計算領域),理組
工程科學及海洋工程學系B組(光機電資訊領域),理組
心理學系,文組
戲劇學系(女),文組
戲劇學系(男),文組
政治學系公共行政組,文組
政治學系國際關係組,文組
政治學系政治理論組,文組
數學系,理組
日本語文學系,文組
昆蟲學系,理組
會計學系,文組
會計學系A組,文組
會計學系B組,文組
材料科學與工程學系,理組
森林環境暨資源學系,理組
植物病理與微生物學系,理組
機械工程學系,理組
歷史學系,文組
法律學系司法組,文組
法律學系法學組,文組
法律學系財經法學組,文組
牙醫學系,醫學
物理學系,理組
物理治療學系,醫學
獸醫學系,醫學
生化科技學系,理組
生命科學系,理組
生物機電工程學系,理組
生物環境系統工程學系,理組
生物產業傳播暨發展學系,理組
生物產業機電工程學系,理組
社會學系,文組
社會工作學系,文組
經濟學系,文組
經濟學系A組,文組
經濟學系B組,文組
職能治療學系,醫學
藥學系,醫學
護理學系,醫學
財務金融學系,文組
財務金融學系A組,文組
財務金融學系B組,文組
資訊工程學系,理組
資訊管理學系,文組
農業化學系,理組
農業經濟學系,文組
農業經濟學系A組,文組
農業經濟學系B組,文組
農藝學系,其他
醫學工程學系,理組
醫學檢驗暨生物技術學系,醫學
醫學系,醫學
醫學系(公費),醫學
醫學系(自費),醫學
電機工程學系,理組
