學年度,學校,系名,科系類型,錄取平均,原始總分
101,台大,中國文學系,中文,79.91,479.45
101,台大,外國語文學系,外文,83.63,627.25
101,台大,歷史學系,歷史,82.62,495.7
101,台大,哲學系,哲學,81.32,406.6
101,台大,人類學系,,81.36,508.53
101,台大,圖書資訊學系,,82.2,534.3
101,台大,日本語文學系,日文,80.92,485.5
101,台大,戲劇學系(男),,78.94,473.65
101,台大,戲劇學系(女),,79.94,479.65
101,台大,數學系,數學,84.04,462.2
101,台大,物理學系,物理,86.62,433.1
101,台大,化學系,化學,84.12,420.6
101,台大,地質科學系,地質,81.76,408.8
101,台大,心理學系,心理,81.6,489.6
101,台大,地理環境資源學系A組,地理,81.24,406.2
101,台大,地理環境資源學系B組,地理,81.6,408.0
101,台大,大氣科學系,大氣科學,82.36,411.8
101,台大,政治學系政治理論組,政治,81.3,447.13
101,台大,政治學系國際關係組,政治,82.76,455.2
101,台大,政治學系公共行政組,政治,81.86,450.25
101,台大,經濟學系,經濟,87.39,436.95
101,台大,社會學系,社會學,81.71,531.1
101,台大,社會工作學系,社會工作,81.57,530.18
101,台大,醫學系,醫學,90.28,541.7
101,台大,牙醫學系,牙醫,88.53,531.2
101,台大,藥學系,藥學,85.08,595.55
101,台大,醫學檢驗暨生物技術學系,醫檢,83.53,501.2
101,台大,護理學系,護理,79.1,474.6
101,台大,物理治療學系,物理治療,82.92,497.5
101,台大,職能治療學系,職能治療,82.5,495.0
101,台大,土木工程學系,土木工程,83.64,418.2
101,台大,機械工程學系,機械工程,84.82,424.1
101,台大,化學工程學系,化學工程,85.38,426.9
101,台大,工程科學及海洋工程學系,,84.16,420.8
101,台大,材料科學與工程學系,材料,87.36,436.8
101,台大,農藝學系,,80.35,522.25
101,台大,生物環境系統工程學系,,82.28,411.4
101,台大,農業化學系,農業化學,81.72,490.3
101,台大,森林環境暨資源學系,,80.13,641.0
101,台大,動物科學技術學系,,80.55,483.3
101,台大,農業經濟學系,農業經濟,80.61,685.2
101,台大,園藝暨景觀學系,,79.77,558.4
101,台大,獸醫學系,獸醫,84.6,507.6
101,台大,生物產業傳播暨發展學系,,82.22,513.88
101,台大,生物產業機電工程學系,,83.88,461.35
101,台大,昆蟲學系,,78.9,473.4
101,台大,植物病理與微生物學系,生命科學,81.05,486.3
101,台大,工商管理學系企業管理組,企業管理,86.3,604.1
101,台大,工商管理學系企管組英文專班,企業管理,86.51,605.6
101,台大,工商管理學系科技管理組,企業管理,85.81,600.7
101,台大,會計學系,會計,84.18,547.2
101,台大,財務金融學系,財務金融,90.26,406.15
101,台大,國際企業學系,國際企業,86.76,607.3
101,台大,資訊管理學系,資訊管理,84.38,421.9
101,台大,公共衛生學系,公共衛生,82.12,492.7
101,台大,電機工程學系,電機工程,87.74,438.7
101,台大,資訊工程學系,資訊工程,86.12,430.6
101,台大,法律學系法學組,法律,84.93,509.6
101,台大,法律學系司法組,法律,84.62,507.7
101,台大,法律學系財經法學組,法律,86.1,516.6
101,台大,生命科學系,生命科學,82.83,497.0
101,台大,生化科技學系,,84.17,505.0
102,台大,中國文學系,中文,81.98,491.85
102,台大,外國語文學系,外文,84.92,636.93
102,台大,歷史學系,歷史,83.42,500.5
102,台大,哲學系,哲學,83.44,417.2
102,台大,人類學系,,82.6,516.28
102,台大,圖書資訊學系,,82.99,539.45
102,台大,日本語文學系,日文,82.69,496.15
102,台大,戲劇學系(男),,81.15,486.9
102,台大,戲劇學系(女),,81.92,491.5
102,台大,數學系,數學,81.41,447.75
102,台大,物理學系,物理,84.64,423.2
102,台大,化學系,化學,82.38,411.9
102,台大,地質科學系,地質,78.66,393.3
102,台大,心理學系,心理,80.17,481.0
102,台大,地理環境資源學系A組,地理,78.2,391.0
102,台大,地理環境資源學系B組,地理,83.58,417.9
102,台大,大氣科學系,大氣科學,79.52,397.6
102,台大,政治學系政治理論組,政治,83.08,456.95
102,台大,政治學系國際關係組,政治,84.33,463.8
102,台大,政治學系公共行政組,政治,83.64,460.0
102,台大,經濟學系,經濟,87.9,439.5
102,台大,社會學系,社會學,83.18,540.7
102,台大,社會工作學系,社會工作,82.72,537.65
102,台大,醫學系,醫學,90.78,544.7
102,台大,牙醫學系,牙醫,88.97,533.8
102,台大,藥學系,藥學,84.3,590.1
102,台大,醫學檢驗暨生物技術學系,醫檢,82.38,494.3
102,台大,護理學系,護理,77.67,466.0
102,台大,物理治療學系,物理治療,82.17,493.0
102,台大,職能治療學系,職能治療,81.47,488.8
102,台大,土木工程學系,土木工程,81.4,407.0
102,台大,機械工程學系,機械工程,82.76,413.8
102,台大,化學工程學系,化學工程,83.1,415.5
102,台大,工程科學及海洋工程學系,,82.06,410.3
102,台大,材料科學與工程學系,材料,85.52,427.6
102,台大,農藝學系,,78.97,513.3
102,台大,生物環境系統工程學系,,79.56,397.8
102,台大,農業化學系,農業化學,79.8,478.8
102,台大,森林環境暨資源學系,,78.56,628.5
102,台大,動物科學技術學系,,78.55,471.3
102,台大,農業經濟學系,農業經濟,78.59,668.0
102,台大,園藝暨景觀學系,,78.21,547.5
102,台大,獸醫學系,獸醫,83.63,501.8
102,台大,生物產業傳播暨發展學系,,83.14,540.4
102,台大,生物產業機電工程學系,,80.56,443.08
102,台大,昆蟲學系,,76.8,460.8
102,台大,植物病理與微生物學系,生命科學,78.87,473.2
102,台大,工商管理學系企業管理組,企業管理,87.43,612.0
102,台大,工商管理學系企業管理組英文專班,企業管理,87.53,612.7
102,台大,工商管理學系科技管理組,企業管理,83.71,586.0
102,台大,會計學系,會計,85.53,555.95
102,台大,財務金融學系,財務金融,91.02,409.6
102,台大,國際企業學系,國際企業,87.67,613.7
102,台大,資訊管理學系,資訊管理,82.26,411.3
102,台大,公共衛生學系,公共衛生,80.48,482.9
102,台大,電機工程學系,電機工程,86.08,430.4
102,台大,資訊工程學系,資訊工程,83.96,419.8
102,台大,法律學系法學組,法律,85.53,513.2
102,台大,法律學系司法組,法律,85.57,513.4
102,台大,法律學系財經法學組,法律,87.6,525.6
102,台大,生命科學系,生命科學,81.07,486.4
102,台大,生化科技學系,,83.33,500.0
103,台大,中國文學系,中文,82.23,493.4
103,台大,外國語文學系,外文,85.59,641.9
