系名,科系類型
不動產經營學系,
不動產與城鄉環境學系,
中國文學學系,中文
中國文學系,中文
中國文學系乙組(華語文教學組),中文
中國文學系甲組(一般組),中文
中國藥學暨中藥資源學系,藥學
中國語文學系,
中醫學系,中醫
中醫學系乙組,中醫
中醫學系甲組,中醫
事業經營學系,
亞太工商管理學系企業管理組,企業管理
亞太工商管理學系工業管理組,企業管理
亞太建築空間與文物保存學士學位學程,建築
交通管理科學系,
人工智慧學士學位學程,
人工智慧學系,
人工智慧技術與應用學士學位學程,
人工智慧與資訊安全學士學位學程,
人文暨科技跨領域學士學位學程,
人文暨科技跨領域學系,
人文社會學系,社會學
人文社會學院學士班,
人文社會學院英語學士學位學程,社會學
人文社會學院英語學士班,社會學
人文與社區創新學士學位學程,
人發與家庭系家庭生活教育組,
人發與家庭系幼兒發展教育組,
人發與家庭系營養科學教育組,
人類學系,
人類發展與家庭學系家庭生活教育組,
人類發展與家庭學系幼兒發展與教育組,
人類發展與家庭學系營養科學與教育組,
企業管理學士學位學程,企業管理
企業管理學系,企業管理
企業管理學系(A組),企業管理
企業管理學系(B組),企業管理
企業管理學系(乙組),企業管理
企業管理學系(創業與組織領導組),企業管理
企業管理學系(服務創新與經營組),企業管理
企業管理學系(永續與服務創新組),企業管理
企業管理學系(甲組),企業管理
企業管理學系(社會組),企業管理
企業管理學系(綠色與永續發展組),企業管理
企業管理學系(自然組),企業管理
企業管理學系(行銷與數位經營組),企業管理
企業管理學系全英語學士班,企業管理
企業管理學系工商管理組,企業管理
企業管理學系服務業管理組,企業管理
企業管理學系高科技業管理組,企業管理
休閒事業經營學系,
休閒學與觀光管理學系,
休閒產業經營學系,
休閒產業與健康促進學系,
休閒運動學系,
休閒運動管理學系,
休閒運動與管理學系,
俄國語文學系,
保健營養學系,
保險學系,
健康促進與衛生教育學系,
健康產業科技管理學系,
健康風險管理學系,
健康餐飲暨產業管理學系,
傳播學系,新聞傳播
傳播學院傳播學士學位學程,新聞傳播
傳播學院大一大二不分系,
傳播學院大一大二不分系(社會組),
傳播學院大一大二不分系(自然組),
傳播學院大一大二不分系社會組,
傳播學院大一大二不分系自然組,
傳播與科技學系,新聞傳播
先進薄膜製程學士學位學程,
光電學系,光電
光電學系A組,光電
光電學系B組,光電
光電工程學士學位學程,光電
光電工程學系,光電
光電工程學系A組(光電半導體組),光電
光電工程學系B組(智慧光電應用組),光電
光電工程學系乙組,光電
光電工程學系全英語組,光電
光電工程學系甲組,光電
光電科學與工程學系,光電
光電科學與工程學系A組,光電
光電科學與工程學系B組,光電
光電與材料科技學士學位學程,光電
光電與材料科技學系,光電
光電與通訊工程學系,
兒童與家庭學系,
兒童英語教育學系,外文
兒童英語教育學系(公費)-桃園市,外文
兒童英語教育學系(公費)-臺南市,外文
兒童英語教育學系(公費)-花蓮縣,外文
兒童英語教育學系(公費特教)-桃園市,外文
兒童英語教育學系(公費生),外文
兒童英語教育學系(自費),外文
全校不分系學士學位學程,
全球政治經濟學系(蘭陽校園),經濟
全球政治經濟學系全英語學士班,經濟
全球政治經濟學系全英語學士班(蘭陽校園),經濟
公共事務學系,
公共事務與公民教育學系公共事務組,
公共事務與公民教育學系公民教育組,
公共事務與公民教育學系公民教育組(公費生),
公共與文化事務學系,
公共行政學系,
公共行政暨政策學系,
公共行政暨法律學系,法律
公共行政與政策學系,
公共衛生學系,公共衛生
公共衛生學系(A組),公共衛生
公共衛生學系(B組),公共衛生
公共衛生學系A組,公共衛生
公共衛生學系B組,公共衛生
公共衛生學系健康管理組,公共衛生
公共衛生學系環境衛生組,公共衛生
公共衛生學院大一不分系,
公務與公教學系公共事務組,
公務與公教學系公民教育組,
公民教育與活動領導學系,
公民教育與活動領導學系(公費)-新北市,
公民教育與活動領導學系(公費)-桃園市,
公民教育與活動領導學系(公費)-苗栗縣,
公民教育與活動領導學系(公費生),
公民教育與活動領導學系(公費生)-桃園縣,
公民教育與活動領導學系(公費生)-高雄市,
公民教育與活動領導系(公費),
公民教育與活動領導系(自費),
創意設計與建築學系,建築
創意設計與建築學系創意設計組,建築
創意設計與建築學系建築組,建築
創新國際學院學士班,
劇場藝術學系,
劇場藝術學系(女),
劇場藝術學系(男),
動力機械工程學系乙組,機械工程
動力機械工程學系甲組,機械工程
動物科學技術學系,
動物科學系,
勞工關係學系,
化學學系,
化學學系化學與生物化學組,
化學學系材料化學組,材料
化學工程及材料工程學系,化學工程
化學工程學系,化學工程
化學工程學系材料工程組,化學工程
化學工程學系生化工程組,化學工程
化學工程學系綠能製程組,化學工程
化學工程與材料工程學系,化學工程
化學工程與材料工程學系(材料工程組),化學工程
化學工程與材料工程學系(生化工程組),化學工程
化學工程與材料工程學系(製程及能源工程組),化學工程
化學工程與材料科學學系,化學工程
化學暨生物化學系,化學
化學生物系,
化學系,化學
化學系(公費),化學
化學系(公費)-花蓮縣,化學
化學系(公費生),化學
化學系(自費),化學
化學系化學生物組,化學
化學系化學生物組(A組),化學
化學系化學生物組(B組),化學
化學系化學組,化學
化學系材料化學組,材料
化學系英語組,外文
化工與材料工程學系,化學工程
化工與材料工程學系(化學工程組),化學工程
化工與材料工程學系(材料工程組),化學工程
區域與社會發展學系,
半導體工程學系固態電子組,
半導體工程學系奈米科學組,
半導體產業學士學位學程,
原住民族樂舞與藝術學士學位學程,
原子科學院學士班,
口腔衛生學系,
古蹟藝術修護學系,
台灣人文創新學士學位學程,
台灣文學系,
台灣語文學系,
台灣語文與傳播學系,新聞傳播
台灣語言與文化學系,化學
史地學系,
合作經濟學系,經濟
合作經濟暨社會事業經營學系,經濟
呼吸治療學系,
哲學系,哲學
商學院不分系,
商業大數據學系,
商業自動化與管理學系,
商業設計學系,
商業設計學系商業設計組,
商業設計學系產品設計組,
商業設計學系產品設計組乙類,
商業設計學系產品設計組甲類,
商管學院全球財務管理全英語學士學位學程,外文
商船學系,
國文學系,中文
國文學系(公費),中文
國文學系(公費)-新竹市,中文
國文學系(公費生),中文
國文學系(自費),中文
國文學系國文組,中文
國文學系國文組(公費),中文
國文學系國文組(自費),中文
國文學系應用中文組,中文
國語文學系,
國際企業學系,國際企業
國際企業學系A組,國際企業
國際企業學系B組,國際企業
國際企業學系國際商學全英語組,國際企業
國際企業學系經貿管理組,國際企業
國際企業管理全英語學士學位學程,企業管理
國際企業管理全英語學士學位學程A組,企業管理
國際企業管理全英語學士學位學程B組,企業管理
國際企業管理學士學位學程,企業管理
國際企業管理學士學位學程(英語專班),企業管理
國際學院國際經營管理學位學程,
國際文教與比較教育學系,
國際暨大陸事務學系,
國際溝通與科技創新學士學位學程,
國際經營管理全英語學士學位學程,外文
國際經營管理學位學程(英語專班),外文
國際經營與貿易學系,
國際經營與貿易學系(A組),
國際經營與貿易學系(B組),
國際經營與貿易學系(社會組),
國際經營與貿易學系(自然組),
國際經營與貿易學系國際企業管理全英語學士班,企業管理
國際觀光管理學系(蘭陽校園),
