學年度,校系代碼,系名,組別,錄取平均,原始總分
101,0001,中國文學系,文組,79.91,479.45
101,0002,外國語文學系,文組,83.63,627.25
101,0003,歷史學系,文組,82.62,495.7
101,0004,哲學系,文組,81.32,406.6
101,0005,人類學系,文組,81.36,508.53
101,0006,圖書資訊學系,文組,82.2,534.3
101,0007,日本語文學系,文組,80.92,485.5
101,0010,戲劇學系(男),文組,78.94,473.65
101,0011,戲劇學系(女),文組,79.94,479.65
101,0012,數學系,理組,84.04,462.2
101,0013,物理學系,理組,86.62,433.1
101,0014,化學系,理組,84.12,420.6
101,0015,地質科學系,理組,81.76,408.8
101,0016,心理學系,文組,81.6,489.6
101,0017,地理環境資源學系A組,其他,81.24,406.2
101,0020,地理環境資源學系B組,其他,81.6,408.0
101,0021,大氣科學系,理組,82.36,411.8
101,0022,政治學系政治理論組,文組,81.3,447.13
101,0023,政治學系國際關係組,文組,82.76,455.2
101,0024,政治學系公共行政組,文組,81.86,450.25
101,0025,經濟學系,文組,87.39,436.95
101,0026,社會學系,文組,81.71,531.1
101,0027,社會工作學系,文組,81.57,530.18
101,0030,醫學系,醫學,90.28,541.7
101,0031,牙醫學系,醫學,88.53,531.2
101,0032,藥學系,醫學,85.08,595.55
101,0033,醫學檢驗暨生物技術學系,醫學,83.53,501.2
101,0034,護理學系,醫學,79.1,474.6
101,0035,物理治療學系,醫學,82.92,497.5
101,0036,職能治療學系,醫學,82.5,495.0
101,0037,土木工程學系,理組,83.64,418.2
101,0040,機械工程學系,理組,84.82,424.1
101,0041,化學工程學系,理組,85.38,426.9
101,0042,工程科學及海洋工程學系,理組,84.16,420.8
101,0043,材料科學與工程學系,理組,87.36,436.8
101,0044,農藝學系,其他,80.35,522.25
101,0045,生物環境系統工程學系,理組,82.28,411.4
101,0046,農業化學系,理組,81.72,490.3
101,0047,森林環境暨資源學系,理組,80.13,641.0
101,0050,動物科學技術學系,理組,80.55,483.3
101,0051,農業經濟學系,文組,80.61,685.2
101,0052,園藝暨景觀學系,其他,79.77,558.4
101,0053,獸醫學系,醫學,84.6,507.6
101,0054,生物產業傳播暨發展學系,理組,82.22,513.88
101,0055,生物產業機電工程學系,理組,83.88,461.35
101,0056,昆蟲學系,理組,78.9,473.4
101,0057,植物病理與微生物學系,理組,81.05,486.3
101,0060,工商管理學系企業管理組,文組,86.3,604.1
101,0061,工商管理學系企管組英文專班,文組,86.51,605.6
101,0062,工商管理學系科技管理組,文組,85.81,600.7
101,0063,會計學系,文組,84.18,547.2
101,0064,財務金融學系,文組,90.26,406.15
101,0065,國際企業學系,文組,86.76,607.3
101,0066,資訊管理學系,文組,84.38,421.9
101,0067,公共衛生學系,理組,82.12,492.7
101,0070,電機工程學系,理組,87.74,438.7
101,0071,資訊工程學系,理組,86.12,430.6
101,0072,法律學系法學組,文組,84.93,509.6
101,0073,法律學系司法組,文組,84.62,507.7
101,0074,法律學系財經法學組,文組,86.1,516.6
101,0075,生命科學系,理組,82.83,497.0
101,0076,生化科技學系,理組,84.17,505.0
102,0001,中國文學系,文組,81.98,491.85
102,0002,外國語文學系,文組,84.92,636.93
102,0003,歷史學系,文組,83.42,500.5
102,0004,哲學系,文組,83.44,417.2
102,0005,人類學系,文組,82.6,516.28
102,0006,圖書資訊學系,文組,82.99,539.45
102,0007,日本語文學系,文組,82.69,496.15
102,0010,戲劇學系(男),文組,81.15,486.9
102,0011,戲劇學系(女),文組,81.92,491.5
102,0012,數學系,理組,81.41,447.75
102,0013,物理學系,理組,84.64,423.2
102,0014,化學系,理組,82.38,411.9
102,0015,地質科學系,理組,78.66,393.3
102,0016,心理學系,文組,80.17,481.0
102,0017,地理環境資源學系A組,其他,78.2,391.0
102,0020,地理環境資源學系B組,其他,83.58,417.9
102,0021,大氣科學系,理組,79.52,397.6
102,0022,政治學系政治理論組,文組,83.08,456.95
102,0023,政治學系國際關係組,文組,84.33,463.8
102,0024,政治學系公共行政組,文組,83.64,460.0
102,0025,經濟學系,文組,87.9,439.5
102,0026,社會學系,文組,83.18,540.7
102,0027,社會工作學系,文組,82.72,537.65
